Airport,AirID,X,Y
Pago Pago International Airport,PPG,-14.33100033,-170.7100067
Saipan International Airport,SPN,15.119,145.729004
Antonio B. Won Pat International Airport,GUM,13.48340034,144.7960052
Cyril E. King Airport,STT,18.33729935,-64.9733963
Henry E Rohlsen Airport,STX,17.70190048,-64.79859924
Rafael Hernandez Airport,BQN,18.49489975,-67.12940216
Mercedita Airport,PSE,18.00830078,-66.56300354
Luis Munoz Marin International Airport,SJU,18.43939972,-66.00180054
Hilo International Airport,ITO,19.72139931,-155.0480042
Fort Smith Regional Airport,FSM,35.33660126,-94.36740112
Grand Forks International Airport,GFK,47.949299,-97.176102
Ernest A. Love Field,PRC,34.65449905,-112.4199982
Trenton Mercer Airport,TTN,40.27669907,-74.81349945
General Edward Lawrence Logan International Airport,BOS,42.36429977,-71.00520325
Metropolitan Oakland International Airport,OAK,37.721298,-122.221001
Eppley Airfield,OMA,41.3032,-95.894096
Kahului Airport,OGG,20.8986,-156.429993
Wichita Eisenhower National Airport,ICT,37.649899,-97.433098
Kansas City International Airport,MCI,39.2976,-94.713898
Dane County Regional Truax Field,MSN,43.13990021,-89.33750153
Dillingham Airport,DLG,59.04470062,-158.5050049
Phoenix Sky Harbor International Airport,PHX,33.43429947,-112.012001
Bangor International Airport,BGR,44.80739975,-68.82810211
East Texas Regional Airport,GGG,32.38399887,-94.71150208
Spokane International Airport,GEG,47.61989975,-117.5339966
San Francisco International Airport,SFO,37.61899948,-122.375
Gainesville Regional Airport,GNV,29.69009972,-82.27179718
Memphis International Airport,MEM,35.04240036,-89.97669983
Los Angeles International Airport,LAX,33.94250107,-118.4079971
Cleveland Hopkins International Airport,CLE,41.4117012,-81.84980011
Cincinnati Northern Kentucky International Airport,CVG,39.04880142,-84.6678009
Juneau International Airport,JNU,58.35499954,-134.576004
Lafayette Regional Airport,LFT,30.20529938,-91.98760223
Newark Liberty International Airport,EWR,40.69250107,-74.16870117
Boise Air Terminal/Gowen Field,BOI,43.5644,-116.223
Garden City Regional Airport,GCK,37.92750168,-100.723999
Minot International Airport,MOT,48.25939941,-101.2799988
Dallas Love Field,DAL,32.847099,-96.851799
Helena Regional Airport,HLN,46.60680008,-111.9830017
Lake Charles Regional Airport,LCH,30.12610054,-93.22329712
Ellison Onizuka Kona International At Keahole Airport,KOA,19.738783,-156.045603
Myrtle Beach International Airport,MYR,33.67969894,-78.92829895
Nantucket Memorial Airport,ACK,41.25310135,-70.06020355
Ronald Reagan Washington National Airport,DCA,38.8521,-77.037697
Atlantic City International Airport,ACY,39.45759964,-74.57720184
Pueblo Memorial Airport,PUB,38.28910065,-104.4970016
Kodiak Airport,ADQ,57.75,-152.4940033
Fort Lauderdale Hollywood International Airport,FLL,26.072599,-80.152702
Falls International Airport,INL,48.56620026,-93.40309906
Salt Lake City International Airport,SLC,40.78839874,-111.9779968
Harrisburg International Airport,MDT,40.19350052,-76.76339722
Lincoln Airport,LNK,40.85100174,-96.75920105
Capital City Airport,LAN,42.77870178,-84.58740234
George Bush Intercontinental Houston Airport,IAH,29.9843998,-95.34140015
Meadows Field,BFL,35.43360138,-119.0569992
